name	timestep	endtime	length	doubleradius	radius	cylinder_end	halfLength	coreRadius	pbcd_dif	mbcd_num	bcd_trans	pbcd_deg	mbcd_deg	mbcd_dif	mbcd_drift	mcad_num	mcad_binding	mcad_unbinding	mcad_dif	pcad_deg	cad_trans	pcad_dif	mnos_num	pnos_dif	nos_trans	pnos_deg	mbcd_binding	mbcd_unbinding	mhb_num	mhb_binding	mhb_unbinding	mhb_dif	phb_deg	hb_trans	phb_dif	more_source1	more_source2	more_source3	more_source4	nuclear_absorption_speed	run1	run2
Caudal-test	10	8461	500	200	100	400	250	75	4	70	1	0.000333333	0	0	0	50	0.5	0.5	0	0.000333333	0.5	7.4	0	0	0	0	0	0	0	0	0		0	0	0	caudal	none	none	none	0	changing_trans	none
Cadnos-test	10	8461	500	200	100	400	250	75	4	70	1	0.000333333	0	0	0	50	0.5	0.5	0	0.000333333	0.5	7.4	70	7.4	0.5	0.000333333	0.5	0.5	0	0	0		0	0	0	caudal	nanos	none	none	0	changing_trans	none
Cadnoshb-test	10	8461	500	200	100	400	250	75	4	70	1	0.000333333	0	0	0	50	0.5	0.5	0	0.000333333	0.5	7.4	70	7.4	0.5	0.000333333	0.5	0.5	70	0.5	0.5	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	none
Cadnoshb-transc	10	8461	500	200	100	400	250	75	4	70	1	0.000333333	0	0	0	50	0.5	0.5	0	0.000333333	0.5	7.4	70	7.4	0.5	0.000333333	0.5	0.5	7	0.5	0.5	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	hbpromoter
Cadhb-transc2	10	8461	500	200	100	400	250	75	4	70	1	0.000333333	0	0	0	50	0.5	0.5	0	0.000333333	0.5	7.4	0	7.4	0.5	0.000333333	0.5	0.5	70	0.5	0.5	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	hbpromoter
Cadhb-transc2e4t10	10	8461	500	200	100	400	250	75	4	7	1	0.000333333	0	0	0	5	0.5	0.5	0	0.000333333	0.5	7.4	7	7.4	0.5	0.000333333	0.5	0.5	7	0.5	0.5	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	hbpromoter
Cadhb-transc2e2t10	10	8461	500	200	100	400	250	75	4	700	1	0.000333333	0	0	0	500	0.5	0.5	0	0.000333333	0.5	7.4	700	7.4	0.5	0.000333333	0.5	0.5	700	0.5	0.5	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	hbpromoter
Cadhb-transc2e4t1	1	8461	500	200	100	400	250	75	4	7	1	0.000333333	0	0	0	5	0.5	0.5	0	0.000333333	0.5	7.4	7	7.4	0.5	0.000333333	0.5	0.5	7	0.5	0.5	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	hbpromoter
Cadhb-transc2e2t1	1	8461	500	200	100	400	250	75	4	700	1	0.000333333	0	0	0	500	0.5	0.5	0	0.000333333	0.5	7.4	700	7.4	0.5	0.000333333	0.5	0.5	700	0.5	0.5	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	hbpromoter
Cadhb-transc3e4t10	10	8461	500	200	100	400	250	75	4	7	1	0.000333333	0	0	0	5	0.5	0.5	0	0.000333333	0.5	7.4	7	7.4	0.5	0.000333333	0.5	0.5	7	10	0.1	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	hbpromoter
Cadhb-transc3e2t10	10	8461	500	200	100	400	250	75	4	700	1	0.000333333	0	0	0	500	0.5	0.5	0	0.000333333	0.5	7.4	700	7.4	0.5	0.000333333	0.5	0.5	700	10	0.1	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	hbpromoter
Cadhb-transc3e4t1	1	8461	500	200	100	400	250	75	4	7	1	0.000333333	0	0	0	5	0.5	0.5	0	0.000333333	0.5	7.4	7	7.4	0.5	0.000333333	0.5	0.5	7	10	0.1	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	hbpromoter
Cadhb-transc3e2t1	1	8461	500	200	100	400	250	75	4	700	1	0.000333333	0	0	0	500	0.5	0.5	0	0.000333333	0.5	7.4	700	7.4	0.5	0.000333333	0.5	0.5	700	10	0.1	0	0.01666666	1.47	0.3	caudal	nanos	hunchback	none	0	changing_trans	hbpromoter
